Characteristic,Number of Features,Accuracy
internalStructure<br>sphericity<br>lobulation<br>spiculation,4,76.45
internalStructure<br>sphericity<br>lobulation<br>texture,4,75.28
internalStructure<br>sphericity<br>spiculation<br>texture,4,76.24
internalStructure<br>margin<br>lobulation<br>spiculation,4,77.34
internalStructure<br>margin<br>lobulation<br>texture,4,76.22
internalStructure<br>margin<br>spiculation<br>texture,4,76.65
internalStructure<br>lobulation<br>spiculation<br>texture,4,76.20
calcification<br>sphericity<br>margin<br>lobulation,4,78.51
calcification<br>sphericity<br>margin<br>spiculation,4,77.85
calcification<br>sphericity<br>margin<br>texture,4,70.95
calcification<br>sphericity<br>lobulation<br>spiculation,4,81.27
calcification<br>sphericity<br>lobulation<br>texture,4,78.99
calcification<br>sphericity<br>spiculation<br>texture,4,78.01
calcification<br>margin<br>lobulation<br>spiculation,4,81.19
calcification<br>margin<br>lobulation<br>texture,4,79.58
calcification<br>margin<br>spiculation<br>texture,4,78.82
calcification<br>lobulation<br>spiculation<br>texture,4,80.78
sphericity<br>margin<br>lobulation<br>spiculation,4,77.52
sphericity<br>margin<br>lobulation<br>texture,4,76.32
sphericity<br>margin<br>spiculation<br>texture,4,76.64
sphericity<br>lobulation<br>spiculation<br>texture,4,76.02
margin<br>lobulation<br>spiculation<br>texture,4,76.95
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin,5,83.20
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation,5,84.20
subtlety<br>internalStructure<br>calcification<br>sphericity<br>spiculation,5,83.05
subtlety<br>internalStructure<br>calcification<br>sphericity<br>texture,5,81.70
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation,5,84.00
subtlety<br>internalStructure<br>calcification<br>margin<br>spiculation,5,84.07
subtlety<br>internalStructure<br>calcification<br>margin<br>texture,5,83.15
subtlety<br>internalStructure<br>calcification<br>lobulation<br>spiculation,5,84.88
subtlety<br>internalStructure<br>calcification<br>lobulation<br>texture,5,84.47
subtlety<br>internalStructure<br>calcification<br>spiculation<br>texture,5,83.68
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation,5,79.57
subtlety<br>internalStructure<br>sphericity<br>margin<br>spiculation,5,79.73
subtlety<br>internalStructure<br>sphericity<br>margin<br>texture,5,78.06
subtlety<br>internalStructure<br>sphericity<br>lobulation<br>spiculation,5,79.48
subtlety<br>internalStructure<br>sphericity<br>lobulation<br>texture,5,79.25
subtlety<br>internalStructure<br>sphericity<br>spiculation<br>texture,5,78.60
subtlety<br>internalStructure<br>margin<br>lobulation<br>spiculation,5,79.96
subtlety<br>internalStructure<br>margin<br>lobulation<br>texture,5,79.19
subtlety<br>internalStructure<br>margin<br>spiculation<br>texture,5,80.07
subtlety<br>internalStructure<br>lobulation<br>spiculation<br>texture,5,79.91
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation,5,83.86
subtlety<br>calcification<br>sphericity<br>margin<br>spiculation,5,84.41
subtlety<br>calcification<br>sphericity<br>margin<br>texture,5,83.20
subtlety<br>calcification<br>sphericity<br>lobulation<br>spiculation,5,84.74
subtlety<br>calcification<br>sphericity<br>lobulation<br>texture,5,84.27
subtlety<br>calcification<br>sphericity<br>spiculation<br>texture,5,83.53
subtlety<br>calcification<br>margin<br>lobulation<br>spiculation,5,84.60
subtlety<br>calcification<br>margin<br>lobulation<br>texture,5,84.21
subtlety<br>calcification<br>margin<br>spiculation<br>texture,5,83.84
subtlety<br>calcification<br>lobulation<br>spiculation<br>texture,5,84.57
subtlety<br>sphericity<br>margin<br>lobulation<br>spiculation,5,79.70
subtlety<br>sphericity<br>margin<br>lobulation<br>texture,5,79.78
subtlety<br>sphericity<br>margin<br>spiculation<br>texture,5,79.87
subtlety<br>sphericity<br>lobulation<br>spiculation<br>texture,5,79.67
subtlety<br>margin<br>lobulation<br>spiculation<br>texture,5,79.97
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation,5,78.52
internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation,5,77.92
internalStructure<br>calcification<br>sphericity<br>margin<br>texture,5,70.90
internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation,5,81.30
internalStructure<br>calcification<br>sphericity<br>lobulation<br>texture,5,79.03
internalStructure<br>calcification<br>sphericity<br>spiculation<br>texture,5,77.99
internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation,5,81.13
internalStructure<br>calcification<br>margin<br>lobulation<br>texture,5,79.60
internalStructure<br>calcification<br>margin<br>spiculation<br>texture,5,78.75
internalStructure<br>calcification<br>lobulation<br>spiculation<br>texture,5,80.82
internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation,5,77.55
internalStructure<br>sphericity<br>margin<br>lobulation<br>texture,5,76.34
internalStructure<br>sphericity<br>margin<br>spiculation<br>texture,5,76.68
internalStructure<br>sphericity<br>lobulation<br>spiculation<br>texture,5,76.16
internalStructure<br>margin<br>lobulation<br>spiculation<br>texture,5,76.94
calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,5,81.26
calcification<br>sphericity<br>margin<br>lobulation<br>texture,5,79.17
calcification<br>sphericity<br>margin<br>spiculation<br>texture,5,78.80
calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,5,80.74
calcification<br>margin<br>lobulation<br>spiculation<br>texture,5,80.81
sphericity<br>margin<br>lobulation<br>spiculation<br>texture,5,77.50
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation,6,83.90
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation,6,84.41
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>texture,6,83.20
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation,6,84.74
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation<br>texture,6,84.29
subtlety<br>internalStructure<br>calcification<br>sphericity<br>spiculation<br>texture,6,83.59
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation,6,84.54
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation<br>texture,6,84.19
subtlety<br>internalStructure<br>calcification<br>margin<br>spiculation<br>texture,6,83.80
subtlety<br>internalStructure<br>calcification<br>lobulation<br>spiculation<br>texture,6,84.67
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation,6,79.82
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation<br>texture,6,79.78
subtlety<br>internalStructure<br>sphericity<br>margin<br>spiculation<br>texture,6,79.87
subtlety<br>internalStructure<br>sphericity<br>lobulation<br>spiculation<br>texture,6,79.81
subtlety<br>internalStructure<br>margin<br>lobulation<br>spiculation<br>texture,6,79.87
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,6,84.23
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation<br>texture,6,84.16
subtlety<br>calcification<br>sphericity<br>margin<br>spiculation<br>texture,6,84.45
subtlety<br>calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,6,84.69
subtlety<br>calcification<br>margin<br>lobulation<br>spiculation<br>texture,6,84.67
subtlety<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,6,80.37
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,6,81.30
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>texture,6,79.23
internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation<br>texture,6,78.87
internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,6,80.69
internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation<br>texture,6,80.77
internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,6,77.38
calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,6,81.13
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation,7,84.35
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>texture,7,84.17
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>spiculation<br>texture,7,84.42
subtlety<br>internalStructure<br>calcification<br>sphericity<br>lobulation<br>spiculation<br>texture,7,84.76
subtlety<br>internalStructure<br>calcification<br>margin<br>lobulation<br>spiculation<br>texture,7,84.62
subtlety<br>internalStructure<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,7,80.39
subtlety<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,7,84.57
internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,7,81.14
subtlety<br>internalStructure<br>calcification<br>sphericity<br>margin<br>lobulation<br>spiculation<br>texture,8,84.61
